ID	logFC	CI.025	CI.975	AveExpr	t	P.Value	adj.P.Val	B	modLog10P	signLog10P
ABCC3	0.670663038	0.287153742	1.054172333	9.636069559	3.451864462	7.01E-4	0.029517157	-0.56481415	3.154167	3.154167
ACSS3	0.552702252	0.279941831	0.825462673	8.246932573	3.999771115	9.41E-5	0.012508641	1.209176587	4.026238	4.026238
ADGRE5	0.513869338	0.256355213	0.771383462	8.040890532	3.938917701	1.19E-4	0.014101297	1.001429608	3.924722	3.924722
ADGRL2	0.527719692	0.195528097	0.859911287	8.458521252	3.135739072	0.002017606	0.048050736	-1.485951457	2.695164	2.695164
AEBP1	0.782898288	0.401325303	1.164471274	10.1336502	4.049980954	7.75E-5	0.011914323	1.382547321	4.110856	4.110856
ANXA1	0.839811664	0.379849101	1.299774227	11.2141358	3.603999105	4.1E-4	0.023879914	-0.094351125	3.386729	3.386729
ANXA2	0.591003728	0.220647165	0.96136029	11.61342573	3.149890332	0.001927519	0.046936393	-1.446377321	2.715001	2.715001
ARAP3	0.515452424	0.271196131	0.759708718	8.886263276	4.165509037	4.92E-5	0.010796172	1.788110606	4.308467	4.308467
B3GNT5	0.833604068	0.505623691	1.161584445	8.552076144	5.016920531	1.3E-6	0.002159581	5.048193694	5.88465	5.88465
BCAT1	0.873276448	0.452297249	1.294255646	10.09514757	4.094646062	6.5E-5	0.011010458	1.538250313	4.186776	4.186776
BCL3	0.57498027	0.309668816	0.840291724	8.02158706	4.277816987	3.13E-5	0.008739561	2.19113654	4.504422	4.504422
C1R	0.746405292	0.345498778	1.147311805	9.902120625	3.674995864	3.18E-4	0.021042108	0.131103711	3.497809	3.497809
C1RL	0.60562878	0.305718718	0.905538842	8.290496447	3.986031491	9.93E-5	0.012718509	1.162042788	4.003218	4.003218
CA3	0.746213008	0.275011229	1.217414788	5.830128397	3.125943694	0.002082229	0.048403952	-1.513252012	2.681472	2.681472
CAVIN1	0.530323516	0.275278851	0.78536818	10.10965972	4.104402087	6.26E-5	0.011010458	1.572444096	4.203439	4.203439
CFH	0.510185104	0.18820787	0.832162338	7.619216353	3.127719994	0.00207037	0.048403952	-1.508306925	2.683952	2.683952
CHI3L1	1.370856848	0.692860626	2.048853071	12.20010253	3.991076839	9.73E-5	0.012700328	1.179335435	4.011664	4.011664
CLEC5A	0.608804166	0.234283107	0.983325226	7.03000268	3.208681649	0.001591719	0.04304439	-1.2802845	2.798134	2.798134
CLIC1	0.683908054	0.373943794	0.993872314	10.29459602	4.355232605	2.28E-5	0.008361132	2.47390169	4.641677	4.641677
CNIH3	0.604578906	0.244584649	0.964573164	7.884578234	3.314993453	0.001118457	0.03602203	-0.97310305	2.951381	2.951381
COL5A2	0.700023166	0.301585709	1.098460623	9.622877994	3.467987396	6.63E-4	0.028659998	-0.515780031	3.178458	3.178458
COL6A1	0.518541194	0.231121839	0.805960549	11.54858961	3.561168392	4.78E-4	0.024918075	-0.228554734	3.320499	3.320499
COL6A2	1.047919043	0.546362877	1.549475209	9.102937599	4.124140159	5.79E-5	0.011010458	1.641825045	4.237241	4.237241
CYTOR	0.64791837	0.28043514	1.015401599	9.337771998	3.48023064	6.35E-4	0.028084984	-0.478413781	3.19696	3.19696
DCBLD2	0.518897717	0.213684587	0.824110847	8.88739191	3.355859774	9.74E-4	0.033612056	-0.852698679	3.011284	3.011284
DIRAS3	0.871200483	0.455862672	1.286538294	8.482438674	4.140396143	5.43E-5	0.011010458	1.699167923	4.265168	4.265168
DPYD	0.623349259	0.235072641	1.011625876	9.21104462	3.168950583	0.001812064	0.045963782	-1.392826424	2.741827	2.741827
ECHDC2	0.514172756	0.247781922	0.78056359	9.353405626	3.809912847	1.94E-4	0.017491059	0.569729814	3.713314	3.713314
EFEMP1	0.710028813	0.317270607	1.10278702	11.41375255	3.568419976	4.66E-4	0.02470397	-0.205929125	3.331671	3.331671
EFEMP2	0.501043233	0.272846316	0.72924015	9.544507412	4.334017757	2.49E-5	0.008361132	2.396014689	4.603888	4.603888
EFHC1	0.515147426	0.280222712	0.75007214	9.73074013	4.328406935	2.55E-5	0.008361132	2.375465605	4.593916	4.593916
EMP3	0.848429008	0.440272611	1.256585406	10.35252847	4.103119431	6.29E-5	0.011010458	1.567944768	4.201247	4.201247
EVA1C	0.536623665	0.23422346	0.839023871	7.434924575	3.502781092	5.87E-4	0.027232834	-0.40929406	3.231167	3.231167
FABP5	0.842839555	0.334438745	1.351240365	10.80284663	3.272381532	0.001289715	0.038135165	-1.097279784	2.889506	2.889506
FABP5P1	0.842839555	0.334438745	1.351240365	10.80284663	3.272381532	0.001289715	0.038135165	-1.097279784	2.889506	2.889506
FABP5P11	0.842839555	0.334438745	1.351240365	10.80284663	3.272381532	0.001289715	0.038135165	-1.097279784	2.889506	2.889506
FABP5P2	0.842839555	0.334438745	1.351240365	10.80284663	3.272381532	0.001289715	0.038135165	-1.097279784	2.889506	2.889506
FABP5P7	0.842839555	0.334438745	1.351240365	10.80284663	3.272381532	0.001289715	0.038135165	-1.097279784	2.889506	2.889506
FAM20C	0.622369456	0.308404402	0.93633451	10.14107312	3.912841143	1.31E-4	0.014728361	0.913209074	3.881571	3.881571
FKBP9	0.662347111	0.420653567	0.904040655	10.07595051	5.409359605	2.1E-7	9.04E-4	6.699594431	6.677627	6.677627
FKBP9P1	0.662347111	0.420653567	0.904040655	10.07595051	5.409359605	2.1E-7	9.04E-4	6.699594431	6.677627	6.677627
FMOD	0.598492566	0.321451929	0.875533203	8.169814272	4.264229206	3.31E-5	0.008899378	2.141921195	4.480514	4.480514
FSTL1	0.565918618	0.293574175	0.838263061	11.00633226	4.101670043	6.33E-5	0.011010458	1.562861945	4.19877	4.19877
FZD1	0.549299865	0.318815921	0.779783809	8.067781612	4.704289855	5.22E-6	0.004281478	3.797620233	5.282117	5.282117
FZD5	0.594925735	0.272095881	0.917755588	7.802355213	3.63759483	3.64E-4	0.022187569	0.01186987	3.439091	3.439091
FZD7	0.970681961	0.556917791	1.38444613	8.926571081	4.630728688	7.17E-6	0.004825618	3.512146711	5.14426	5.14426
G0S2	0.604017026	0.274427102	0.933606949	8.358342749	3.617433134	3.91E-4	0.023197066	-0.051976565	3.407624	3.407624
GJB2	0.854335171	0.340575058	1.368095284	6.665115037	3.282412511	0.001247333	0.037910866	-1.068174505	2.904018	2.904018
