LIMMA FOR GSE DATASET										
ID	logFC	CI.025	CI.975	AveExpr	t	P.Value	adj.P.Val	B	modLog10P	signLog10P
A1BG	0.052534054	-0.042283754	0.147351863	6.815813026	1.093644726	0.275645379	0.549605634	-5.430211839	0.5596493	0.5596493
A1BG-AS1	8.14E-04	-0.075146259	0.076773919	6.494174136	0.0211482	0.983152033	0.993165499	-5.99269736	0.007379318	0.007379318
A1CF	-0.05721916	-0.141231785	0.026793466	6.936437009	-1.344380403	0.180601883	0.440657679	-5.144216293	0.7432777	-0.7432777
A2M	0.12435622	-0.083328298	0.332040739	12.38516168	1.181921537	0.238873923	0.510169667	-5.336112164	0.6218313	0.6218313
A2M-AS1	-0.062690239	-0.209626493	0.084246015	6.327150523	-0.842163116	0.400870155	0.659870838	-5.658739857	0.3969963	-0.3969963
A2ML1	-0.053017975	-0.134000395	0.027964444	6.099673399	-1.292283055	0.197998596	0.460659207	-5.208387969	0.7033379	-0.7033379
A4GALT	-0.016834129	-0.107077614	0.073409355	7.330970977	-0.368213795	0.713168155	0.86661101	-5.928913993	0.1468081	-0.1468081
A4GNT	-0.016318509	-0.062355634	0.029718615	6.116044318	-0.699676933	0.485077539	0.722662424	-5.762094139	0.3141888	-0.3141888
AAAS	0.048724705	-0.032606521	0.130055931	8.615524646	1.182543592	0.238627829	0.509998278	-5.335423601	0.6222789	0.6222789
AACS	0.017048854	-0.146081321	0.180179029	8.462498322	0.206293787	0.836806262	0.929662287	-5.972815761	0.07737508	0.07737508
AACSP1	-0.010771197	-0.067696688	0.046154294	4.578013923	-0.373492987	0.709243091	0.864710548	-5.927066618	0.1492049	-0.1492049
AADAC	0.015869477	-0.027421858	0.059160812	5.637599768	0.723580549	0.470309596	0.712974148	-5.746079681	0.3276162	0.3276162
AADACL2	-0.005079489	-0.043039447	0.03288047	4.350144849	-0.264131088	0.791996211	0.909059958	-5.959972585	0.1012769	-0.1012769
AADACP1	-0.02794226	-0.078609079	0.022724559	4.706493485	-1.088587007	0.277864244	0.55178097	-5.43538541	0.5561673	-0.5561673
AADAT	0.04252632	-0.058186446	0.143239086	8.220269438	0.833486433	0.405730389	0.663790637	-5.665575486	0.3917625	0.3917625
AAGAB	0.063641752	-0.046033169	0.173316673	8.161248795	1.145407581	0.253637061	0.527465111	-5.375905833	0.5957873	0.5957873
AAK1	-0.045348577	-0.176127951	0.085430797	10.02578863	-0.684462515	0.494607563	0.728243667	-5.772008716	0.3057392	-0.3057392
AAMDC	-0.003132365	-0.113650104	0.107385374	8.405075264	-0.055945558	0.955450336	0.981087681	-5.991430625	0.01979188	-0.01979188
