Validation dataset1 - LIMMA OF TCGA-GBM microarray Dataset										
ID	logFC	CI.025	CI.975	AveExpr	t	P.Value	adj.P.Val	B	modLog10P	signLog10P
EFEMP2	1.066480244	0.766077764	1.366882724	8.579435177	6.984481143	1.65E-11	2.29E-07	15.47169427	10.78327	10.78327
LDB1	-0.408358949	-0.537771616	-0.278946282	6.283464621	-6.207977557	1.65E-09	1.15E-05	11.20165755	8.781506	-8.781506
FMOD	1.17401877	0.791434269	1.556603272	6.382494991	6.037157629	4.32E-09	2.00E-05	10.31400869	8.36442	8.36442
MSN	0.771133031	0.515793204	1.026472859	9.969539605	5.941493054	7.33E-09	2.55E-05	9.82539349	8.134644	8.134644
SERPING1	1.18092984	0.785052338	1.576807343	8.385275582	5.86878396	1.09E-08	3.04E-05	9.458159765	7.961855	7.961855
C1R	1.140646507	0.751149768	1.530143245	9.129273368	5.761453972	1.95E-08	3.88E-05	8.922660316	7.709738	7.709738
CHL1	1.498799354	0.987456413	2.010142295	8.354485566	5.766550237	1.90E-08	3.88E-05	8.947908021	7.721629	7.721629
PDPN	1.47082962	0.961536197	1.980123043	9.104593173	5.681711096	2.99E-08	5.20E-05	8.529942041	7.524716	7.524716
PINLYP	0.908012155	0.582976809	1.233047501	6.626259646	5.49598981	7.92E-08	1.10E-04	7.632528075	7.101476	7.101476
WWTR1	0.789073124	0.507126435	1.071019812	10.47122208	5.505985974	7.52E-08	1.10E-04	7.680210495	7.12398	7.12398
SLC35G2	0.839842752	0.536325693	1.143359811	7.970499704	5.443769409	1.04E-07	1.31E-04	7.384588668	6.984424	6.984424
MSRB2	-0.45382304	-0.619013368	-0.288632713	8.679675665	-5.404888945	1.27E-07	1.47E-04	7.201250916	6.897835	-6.897835
DYNLT3	0.692954116	0.436300614	0.949607618	9.898769706	5.311805099	2.03E-07	2.17E-04	6.766734769	6.692491	6.692491
CTBP2	-0.350172416	-0.482583786	-0.217761046	9.883088935	-5.202852353	3.50E-07	2.79E-04	6.266117423	6.455674	-6.455674
HCRTR2	-0.168695859	-0.232059009	-0.105332709	4.018726926	-5.23784339	2.94E-07	2.79E-04	6.425951662	6.531312	-6.531312
LGALS8	0.59227166	0.369109682	0.815433638	7.425521059	5.221383566	3.19E-07	2.79E-04	6.350653971	6.495683	6.495683
SLC2A10	0.872924306	0.54183368	1.204014931	7.569757798	5.186979719	3.79E-07	2.79E-04	6.193908833	6.421494	6.421494
SLC43A3	0.593147852	0.368120068	0.818175636	7.166389423	5.185751073	3.81E-07	2.79E-04	6.188327117	6.418852	6.418852
TP73-AS1	0.72416111	0.450649567	0.997672653	6.7939514	5.208880409	3.40E-07	2.79E-04	6.293588916	6.468677	6.468677
TIMP1	0.917808682	0.567967042	1.267650322	11.56072384	5.161376128	4.30E-07	2.99E-04	6.077821262	6.366532	6.366532
SEC61G	0.980464144	0.60380334	1.357124948	11.42340828	5.121133935	5.24E-07	3.47E-04	5.896336505	6.280576	6.280576
ANKRD26	-0.243404398	-0.337494163	-0.149314633	4.358195105	-5.089450368	6.12E-07	3.70E-04	5.754290578	6.213273	-6.213273
C1RL	0.855393288	0.525227584	1.185558992	6.107819946	5.097048041	5.90E-07	3.70E-04	5.788285302	6.229383	6.229383
ZIC3	-0.289803301	-0.402442838	-0.177163765	4.190816026	-5.061710744	7.00E-07	4.06E-04	5.630536757	6.154618	-6.154618
C1S	1.073572113	0.653822066	1.49332216	9.39713274	5.031822536	8.10E-07	4.33E-04	5.497837166	6.091702	6.091702
SLC25A20	0.558669921	0.340441622	0.776898221	6.949229914	5.036502666	7.92E-07	4.33E-04	5.51857242	6.101534	6.101534
F3	0.822418526	0.497722881	1.147114171	8.992586002	4.983119116	1.02E-06	5.28E-04	5.283026986	5.989808	5.989808
CHI3L1	1.686663852	1.019233731	2.354093973	11.64662364	4.97173054	1.08E-06	5.34E-04	5.233052573	5.966094	5.966094
CPQ	0.571886998	0.345056652	0.798717344	7.389308209	4.960139784	1.14E-06	5.34E-04	5.182290742	5.942004	5.942004
TAF5	-0.476449148	-0.665481774	-0.287416521	5.855606725	-4.958663454	1.15E-06	5.34E-04	5.175832374	5.938939	-5.938939
MLNR	-0.108489472	-0.151821486	-0.065157458	3.493157074	-4.925650244	1.35E-06	6.05E-04	5.031839932	5.870583	-5.870583
IL1RAP	0.949761574	0.568869085	1.330654062	7.976322396	4.905655357	1.48E-06	6.44E-04	4.945027646	5.829358	5.829358
CSRP1	0.683162056	0.405878361	0.960445751	10.25156527	4.847125366	1.95E-06	7.99E-04	4.692641342	5.709446	5.709446
DUS2	-0.240790102	-0.338887526	-0.142692679	6.25530133	-4.829096425	2.12E-06	7.99E-04	4.615421589	5.67274	-5.67274
MEIS3P1	0.696726431	0.413090482	0.98036238	6.949866995	4.832655748	2.09E-06	7.99E-04	4.630646981	5.679978	5.679978
MEIS3P2	0.696726431	0.413090482	0.98036238	6.949866995	4.832655748	2.09E-06	7.99E-04	4.630646981	5.679978	5.679978
MYH7	-0.232235165	-0.326517639	-0.13795269	4.113272417	-4.845982666	1.96E-06	7.99E-04	4.687739724	5.707116	-5.707116
LINC00843	-0.414888263	-0.584334213	-0.245442313	7.428499	-4.81709048	2.25E-06	8.02E-04	4.56413583	5.648356	-5.648356
RPRM	-0.739917735	-1.042119558	-0.437715912	5.866378552	-4.816939644	2.25E-06	8.02E-04	4.563492203	5.64805	-5.64805
CEBPD	0.632449644	0.373256513	0.891642776	10.67373219	4.800509255	2.43E-06	8.30E-04	4.493486087	5.61476	5.61476
CEP112	0.382647889	0.225633837	0.539661941	5.510384962	4.794525667	2.50E-06	8.30E-04	4.468042441	5.602659	5.602659
RANBP17	-0.274919509	-0.387744113	-0.162094906	3.945528395	-4.793873754	2.50E-06	8.30E-04	4.465271996	5.601341	-5.601341
TFDP2	-0.543872225	-0.768776031	-0.318968418	7.167367937	-4.757567097	2.96E-06	9.59E-04	4.311490951	5.52818	-5.52818
GREB1L	-0.283072927	-0.401055888	-0.165089965	4.342589998	-4.720237926	3.52E-06	0.001113216	4.154429714	5.45342	-5.45342
AEBP1	0.971786305	0.564549526	1.379023083	9.126410367	4.694708464	3.96E-06	0.001147226	4.047630687	5.402562	5.402562
FKBP9	0.570295248	0.331506013	0.809084482	9.536601928	4.69861496	3.89E-06	0.001147226	4.063940533	5.41033	5.41033
FKBP9P1	0.570295248	0.331506013	0.809084482	9.536601928	4.69861496	3.89E-06	1.15E-03	4.063940533	5.41033	5.41033
SHANK1	-0.196790869	-0.279125903	-0.114455836	4.049051894	-4.702243645	3.82E-06	1.15E-03	4.079101013	5.41755	-5.41755
ZBTB32	-0.208762982	-0.296345943	-0.121180021	3.969589563	-4.689415531	4.05E-06	0.001151359	4.025551108	5.392045	-5.392045
TRIP6	0.651858841	0.377934445	0.925783237	8.251362719	4.681744355	4.20E-06	0.00116859	3.993588897	5.37682	5.37682
IQCG	0.755145016	0.437265176	1.073024856	7.345634612	4.673607347	4.36E-06	0.001189023	3.959735298	5.360692	5.360692
STAT3	0.403427421	0.232796124	0.574058718	10.16269891	4.651484404	4.82E-06	0.001289714	3.867951926	5.316955	5.316955
DUSP6	0.70487319	0.40618073	1.00356565	9.521659864	4.64271025	5.02E-06	0.001292419	3.831654429	5.299655	5.299655
IGFBP2	1.098382668	0.633025103	1.563740234	10.24650122	4.643567259	5.00E-06	0.001292419	3.835197139	5.301344	5.301344
EMP3	0.993114138	0.571355504	1.414872772	9.70204577	4.632549091	5.25E-06	1.33E-03	3.789693408	5.279652	5.279652
IL6ST	0.411470206	0.236429853	0.58651056	10.72471062	4.624715909	5.44E-06	0.001328375	3.757400385	5.264256	5.264256
PDSS1	-0.444178825	-0.632999644	-0.255358006	6.127049466	-4.627994356	5.36E-06	0.001328375	3.770910311	5.270698	-5.270698
MTSS1L	-0.22724623	-0.324051214	-0.130441246	3.981321219	-4.618317818	5.60E-06	0.001343778	3.731058882	5.251697	-5.251697
TWNK	-0.400881565	-0.57188069	-0.22988244	6.154981594	-4.612188467	5.76E-06	0.001358072	3.705853535	5.239677	-5.239677
DIRAS3	1.041190573	0.594024616	1.48835653	6.760591251	4.580852861	6.63E-06	0.001537699	3.577449172	5.17843	5.17843
RBP1	1.083247091	0.614521389	1.551972794	9.703342909	4.546671849	7.73E-06	0.001762467	3.438255105	5.112001	5.112001
PPP2R2D	-0.282822031	-0.405424012	-0.160220049	5.972389879	-4.538377253	8.02E-06	0.001799364	3.404614496	5.095941	-5.095941
HMX1	-0.316418024	-0.453762768	-0.17907328	4.391326542	-4.532460386	8.23E-06	0.001818076	3.380650089	5.084499	-5.084499
H2AFY2	-0.549680464	-0.788780043	-0.310580885	4.825431446	-4.522893252	8.59E-06	0.001867445	3.341959218	5.066024	-5.066024
DDX50	-0.298878052	-0.429797596	-0.167958509	7.938348647	-4.491324044	9.88E-06	0.002082696	3.214796153	5.005282	-5.005282
GNG12	0.498578069	0.280200664	0.716955474	9.530538236	4.491695605	9.86E-06	0.002082696	3.216288292	5.005995	5.005995
CUTC	-0.376367065	-0.541960102	-0.210774029	6.917435334	-4.471511896	1.08E-05	0.002206007	3.135389801	4.967336	-4.967336
PTGES2	-0.240801913	-0.346712472	-0.134891354	6.689160441	-4.473068202	1.07E-05	0.002206007	3.141616281	4.970312	-4.970312
HSP90B1	0.338904401	0.189583033	0.488225769	10.74898601	4.465191567	1.11E-05	0.002235341	3.110122906	4.955259	4.955259
CCL2	1.210111755	0.673653814	1.746569695	9.190490304	4.437870748	1.25E-05	2.48E-03	3.001262867	4.903212	4.903212
DCTD	0.376087475	0.209233866	0.542941085	8.466226193	4.434433153	1.27E-05	0.002486065	2.987607304	4.896681	4.896681
PPIB	0.370642493	0.205814362	0.535470625	11.46998072	4.423934827	1.33E-05	0.002541204	2.945961133	4.876762	4.876762
RUBCNL	0.7574918	0.420431424	1.094552177	6.871273362	4.421351899	1.34E-05	2.54E-03	2.935728133	4.871867	4.871867
STEAP3	0.740247542	0.41075465	1.069740435	6.854456137	4.419933862	1.35E-05	0.002541204	2.930112409	4.869181	4.869181
SLCO5A1	-0.218628882	-0.316281708	-0.120976057	4.16600018	-4.404611105	1.44E-05	0.002680364	2.8695322	4.840197	-4.840197
FZD7	0.829023296	0.457669862	1.200376731	7.578876529	4.392018262	1.53E-05	0.002777463	2.819883664	4.816438	4.816438
TXNDC15	0.328826706	0.181476143	0.47617727	8.532527646	4.390359973	1.54E-05	0.002777463	2.813355026	4.813313	4.813313
MXD1	-0.153439584	-0.222297855	-0.084581313	3.679094141	-4.383955596	1.58E-05	0.002819053	2.788161558	4.801254	-4.801254
CHSY1	0.430854735	0.237189519	0.62451995	9.044261345	4.376874507	1.63E-05	0.002870035	2.760343783	4.787938	4.787938
MCFD2	0.28380699	0.156120769	0.411493211	9.2769739	4.372843168	1.66E-05	0.002884017	2.744524543	4.780364	4.780364
TAL1	-0.330016486	-0.479125079	-0.180907894	4.352532694	-4.354294633	1.80E-05	0.003085863	2.671904591	4.74559	-4.74559
CISD1	-0.335635974	-0.487680164	-0.183591784	9.355751044	-4.34293691	1.89E-05	0.003155392	2.627572144	4.724356	-4.724356
IFNGR2	0.349193857	0.191011493	0.50737622	8.950220604	4.343035528	1.89E-05	0.003155392	2.627956638	4.72454	4.72454
TRIP4	0.499532806	0.273124531	0.72594108	7.195661105	4.340667971	1.90E-05	0.003155392	2.618728083	4.720119	4.720119
BZW1	0.289918184	0.158176623	0.421659745	10.90416561	4.329497552	2.00E-05	0.003219122	2.57524664	4.699288	4.699288
