ID	logFC	CI.025	CI.975	AveExpr	t	P.Value	adj.P.Val	B	modLog10P	signLog10P
ABCA1	0.518862097087705	0.196577178423832	0.841147015751578	8.42775191454863	3.16735550200826	0.00168579864385576	0.0372454837397871	-1.39045871905519	2.773194	2.773194
ACSS3	0.792373698993913	0.415752846136443	1.16899455185138	6.53710242091466	4.13914401075692	4.45697175898239E-5	0.00531279678883889	1.84959021148207	4.35096	4.35096
ADM	0.891260900490243	0.423454923774197	1.35906687720629	9.49566194071812	3.74821018131941	2.11088051367223E-4	0.0112064592377401	0.451410996302125	3.675536	3.675536
AEBP1	0.971786304585159	0.56454952573762	1.3790230834327	9.12641036699721	4.69470846374299	3.95765749934561E-6	0.00114722596762281	4.04763068713408	5.402562	5.402562
AK4	0.580355949855917	0.304355376676212	0.856356523035623	9.00907647533171	4.13684553206478	4.49954513517031E-5	0.00531279678883889	1.84100572089497	4.346831	4.346831
AK4P1	0.580355949855917	0.304355376676212	0.856356523035623	9.00907647533171	4.13684553206478	4.49954513517031E-5	0.00531279678883889	1.84100572089497	4.346831	4.346831
AK4P3	0.580355949855917	0.304355376676212	0.856356523035623	9.00907647533171	4.13684553206478	4.49954513517031E-5	0.00531279678883889	1.84100572089497	4.346831	4.346831
AKAP12	0.694986720335718	0.315526739275781	1.07444670139566	9.21368206708661	3.60325811302638	3.63969367528505E-4	0.0148949111170342	-0.0349314981818694	3.438935	3.438935
ALDH1L1	0.864999337614088	0.429625734789971	1.3003729404382	7.21252647700525	3.90875571054779	1.13146092802959E-4	0.00857315438208545	1.01044456446346	3.94636	3.94636
ANXA1	0.642784534845813	0.229927971842768	1.05564109784886	10.5237603683487	3.06302875635816	0.00237610515862933	0.043020204935154	-1.69070131140386	2.624134	2.624134
ANXA2	0.53274567070884	0.221607229621794	0.843884111795886	11.7593309624	3.36861288380772	8.47249139513977E-4	0.0258126712974824	-0.784738167264658	3.071989	3.071989
APOBEC3G	0.541074440808634	0.235777416904432	0.846371464712836	7.86540378760216	3.48673784941642	5.56895749156437E-4	0.0199481076985889	-0.413096651771901	3.254226	3.254226
AQP1	1.01667165652838	0.388891054291057	1.6444522587657	9.83497221737413	3.18608729981466	0.0015835068512879	0.0362042599410842	-1.33555257915591	2.80038	2.80038
BST2	0.751715033955549	0.390176228803257	1.11325383910784	7.14811165596843	4.09056374861072	5.44389699610077E-5	0.00576167688075772	1.66905775978708	4.26409	4.26409
C1R	1.14064650653883	0.751149767807547	1.53014324527011	9.12927336783102	5.76145397150662	1.95102270843349E-8	3.87807570930623E-5	8.92266031560881	7.709738	7.709738
C1RL	0.85539328775373	0.525227583885118	1.18555899162234	6.10781994625257	5.09704804078202	5.89681210806559E-7	3.70212176178605E-4	5.78828530174123	6.229383	6.229383
C1S	1.07357211266065	0.653822065727798	1.4933221595935	9.39713274037443	5.03182253610656	8.09651862356309E-7	4.33288308185603E-4	5.49783716609809	6.091702	6.091702
CASP1	0.52402034236231	0.215641740710494	0.832398944014126	7.47531040465234	3.34309531808209	9.26217160456528E-4	0.0267929013941624	-0.863460351612105	3.033287	3.033287
CBR1	0.503539349181871	0.191991193698186	0.815087504665556	8.92273787828551	3.17975074302261	0.00161744923635906	0.0364161629040453	-1.35416004016125	2.791169	2.791169
CCL2	1.21011175470932	0.673653814353275	1.74656969506536	9.19049030437028	4.43787074766793	1.24964937896598E-5	0.00248394592270467	3.00126286659492	4.903212	4.903212
CD14	0.740657650678845	0.335727431508134	1.14558786984956	9.48928814997239	3.59850551257778	3.70420080177516E-4	0.0150896437989496	-0.0505796610094107	3.431305	3.431305
CD163	0.950434239594804	0.448988087233297	1.45188039195631	9.63683770350218	3.72891615038151	2.27191217003463E-4	0.0117831579215742	0.385664326776952	3.643608	3.643608
CD302	0.513298591769169	0.221758936494254	0.804838247044083	8.23467711952513	3.46383570393678	6.04646496072007E-4	0.0211383199656932	-0.486076706737439	3.218498	3.218498
CD44	0.604026393310756	0.293019067400961	0.915033719220551	11.2636376122265	3.82093935090734	1.5955663588465E-4	0.0102307420815623	0.702021585370409	3.797085	3.797085
